# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas 
2.686968e-01 4.561170e-02 6.735993e-01 2.238298e-09 9.822252e-01 -1.209043e+00 -9.880319e-01 7.029255e-02 2.787766e+00 -2.659574e-04 
2.940691e-01 4.748404e-02 7.365426e-01 1.885106e-09 9.837323e-01 -9.707447e-01 4.920213e-02 1.411436e-01 3.582092e+00 -2.420213e-02 
3.497606e-01 5.061170e-02 6.654433e-01 2.161702e-09 9.564273e-01 -8.888298e-01 -2.007979e-01 9.566489e-02 2.743085e+00 1.494681e-02 
2.600798e-01 4.592021e-02 7.134929e-01 1.758865e-09 9.791223e-01 -1.067553e+00 3.178191e-01 1.275798e-01 3.053369e+00 -1.069149e-02 
3.089096e-01 4.772872e-02 6.991312e-01 2.374468e-09 9.569592e-01 -7.196809e-01 -9.561170e-01 1.074734e-01 3.311525e+00 1.696809e-02 
3.374734e-01 4.963298e-02 6.459397e-01 2.059574e-09 9.931294e-01 -1.143085e+00 -3.869681e-01 7.364362e-02 2.539539e+00 -9.308511e-03 
2.771543e-01 4.642021e-02 6.728901e-01 2.112057e-09 9.996011e-01 -7.335106e-01 2.247340e-01 9.773936e-02 2.839894e+00 2.393617e-03 
2.935904e-01 5.007979e-02 6.895567e-01 2.356028e-09 9.699025e-01 -1.266489e+00 -5.119681e-01 1.278989e-01 3.554787e+00 -2.313830e-02 
3.347606e-01 4.810106e-02 7.195213e-01 1.879433e-09 9.510195e-01 -1.004787e+00 -3.630319e-01 6.726064e-02 2.651241e+00 1.856383e-02 
2.629521e-01 4.897340e-02 6.445213e-01 2.255319e-09 9.845301e-01 -1.071809e+00 -5.359043e-01 9.007979e-02 2.383156e+00 2.819149e-03 
3.149734e-01 4.964362e-02 6.835284e-01 1.897872e-09 9.521720e-01 -1.173936e+00 1.236702e-01 1.368351e-01 3.549823e+00 2.005319e-02 
3.393883e-01 4.533511e-02 7.069326e-01 1.967376e-09 9.687500e-01 -7.250000e-01 -2.114362e-01 8.497340e-02 2.832447e+00 -2.356383e-02 
2.897606e-01 4.883511e-02 6.962943e-01 2.246809e-09 9.899379e-01 -1.264362e+00 1.555851e-01 1.473670e-01 2.388121e+00 -3.457447e-03 
3.034840e-01 5.064362e-02 7.335284e-01 1.909220e-09 9.511968e-01 -8.452128e-01 -4.654255e-02 9.486702e-02 3.306560e+00 1.101064e-02 
3.398670e-01 4.566489e-02 6.425709e-01 2.058156e-09 9.757535e-01 -9.696809e-01 -6.289894e-01 6.757979e-02 2.807624e+00 -1.696809e-02 
2.605585e-01 4.750532e-02 7.088830e-01 2.371631e-09 9.511082e-01 -1.054787e+00 -3.390957e-01 8.146277e-02 3.165071e+00 -1.845745e-02 
2.972606e-01 5.079255e-02 6.530319e-01 1.893617e-09 9.947252e-01 -8.675532e-01 -6.236702e-01 1.266223e-01 3.261879e+00 2.659574e-04 
3.441755e-01 4.664362e-02 6.833511e-01 2.004255e-09 9.722961e-01 -1.232447e+00 4.082447e-01 9.039894e-02 2.437766e+00 1.728723e-02 
2.832181e-01 4.997340e-02 6.856560e-01 2.259574e-09 9.783245e-01 -7.420213e-01 3.390957e-01 1.184840e-01 2.326064e+00 1.909574e-02 
2.950266e-01 4.819681e-02 7.376064e-01 1.782979e-09 9.575798e-01 -9.484043e-01 -7.726064e-01 1.207181e-01 3.512589e+00 -1.441489e-02 
3.342819e-01 4.526064e-02 6.537411e-01 2.093617e-09 9.924202e-01 -1.273936e+00 -4.986702e-01 8.545213e-02 2.775355e+00 3.138298e-03 
2.602394e-01 4.985638e-02 6.778546e-01 2.024113e-09 9.879876e-01 -1.277128e+00 -4.906915e-01 8.353723e-02 3.100532e+00 -1.537234e-02 
2.971011e-01 4.527128e-02 6.565780e-01 2.324823e-09 9.756649e-01 -7.484043e-01 1.928191e-01 1.149734e-01 3.251950e+00 1.803191e-02 
3.496011e-01 4.892021e-02 7.310461e-01 1.919149e-09 9.552748e-01 -1.012234e+00 -6.050532e-01 1.282181e-01 2.725709e+00 5.691489e-03 
2.634309e-01 4.702660e-02 6.562234e-01 2.019858e-09 9.652926e-01 -1.293085e+00 -6.502660e-01 1.117819e-01 2.614007e+00 1.026596e-02 
2.963032e-01 4.635638e-02 6.840603e-01 2.278014e-09 9.932181e-01 -7.835106e-01 1.901596e-01 1.361968e-01 3.539894e+00 -1.569149e-02 
3.491223e-01 4.944149e-02 7.182801e-01 1.709220e-09 9.711436e-01 -1.079255e+00 -4.188830e-01 7.268617e-02 3.222163e+00 -9.414894e-03 
2.760372e-01 4.961170e-02 7.234220e-01 2.401418e-09 9.568706e-01 -1.178191e+00 -3.843085e-01 9.949468e-02 3.510106e+00 1.132979e-02 
3.101862e-01 4.550532e-02 6.439894e-01 2.208511e-09 9.860372e-01 -1.026064e+00 2.167553e-01 1.462500e-01 2.599113e+00 6.329787e-03 
3.373138e-01 4.749468e-02 6.982447e-01 1.763121e-09 9.769060e-01 -8.441489e-01 -9.534574e-01 7.396277e-02 2.785284e+00 -1.622340e-02 
2.795479e-01 4.799468e-02 7.345922e-01 1.971631e-09 9.722074e-01 -7.313830e-01 -8.018617e-01 8.640957e-02 2.735638e+00 1.388298e-02 
2.982181e-01 4.520745e-02 6.769681e-01 2.431206e-09 9.577571e-01 -1.056915e+00 2.327128e-01 9.454787e-02 2.978901e+00 -2.664894e-02 
3.427394e-01 5.080319e-02 6.549823e-01 1.933333e-09 9.834663e-01 -1.153723e+00 -1.848404e-01 1.350798e-01 3.266844e+00 8.776596e-03 
2.843351e-01 4.951596e-02 7.078191e-01 2.496454e-09 9.929521e-01 -1.037766e+00 1.662234e-01 1.393883e-01 3.045922e+00 9.095745e-03 
2.947074e-01 4.822872e-02 6.682801e-01 1.710638e-09 9.736259e-01 -8.962766e-01 -3.896277e-01 9.199468e-02 3.428191e+00 -2.952128e-02 
3.499202e-01 4.595213e-02 6.829965e-01 2.096454e-09 9.625443e-01 -1.149468e+00 -5.252660e-01 8.688830e-02 2.753014e+00 2.803191e-02 
2.704521e-01 4.736702e-02 6.668617e-01 2.476596e-09 9.543883e-01 -9.973404e-01 -1.476064e-01 8.768617e-02 3.353723e+00 2.175532e-02 
2.913564e-01 5.073936e-02 6.918617e-01 1.970213e-09 9.883422e-01 -1.234574e+00 1.210106e-01 1.009309e-01 2.447695e+00 -2.367021e-02 
3.489628e-01 4.513298e-02 7.147340e-01 1.814184e-09 9.788564e-01 -8.835106e-01 -6.875000e-01 1.288564e-01 3.003723e+00 6.648936e-03 
2.880053e-01 4.519681e-02 6.773227e-01 1.982979e-09 9.813387e-01 -1.290957e+00 1.994681e-02 1.301330e-01 2.795213e+00 -1.473404e-02 
3.130585e-01 4.863298e-02 6.657979e-01 1.740426e-09 9.518174e-01 -8.143617e-01 -7.433511e-01 7.539894e-02 3.517553e+00 3.670213e-03 
3.403457e-01 5.081383e-02 7.172163e-01 2.378723e-09 9.919770e-01 -9.122340e-01 -3.470745e-01 1.191223e-01 2.695922e+00 1.228723e-02 
2.849734e-01 4.786702e-02 6.734220e-01 1.798582e-09 9.870124e-01 -9.611702e-01 4.880319e-01 1.331649e-01 2.427837e+00 5.159574e-03 
2.951862e-01 4.979255e-02 6.640248e-01 2.434043e-09 9.761082e-01 -8.186170e-01 -6.263298e-01 7.460106e-02 3.408333e+00 2.132979e-02 
3.494415e-01 4.671809e-02 7.384929e-01 2.124823e-09 9.590869e-01 -1.169681e+00 -2.406915e-01 9.135638e-02 3.018617e+00 -1.601064e-02 
2.653457e-01 5.037766e-02 7.085284e-01 2.198582e-09 9.537677e-01 -7.771277e-01 -6.742021e-01 1.026862e-01 3.256915e+00 9.946809e-03 
3.116223e-01 4.756915e-02 6.702305e-01 2.273759e-09 9.703457e-01 -1.187766e+00 4.401596e-01 1.440160e-01 2.906915e+00 -2.984043e-02 
3.288564e-01 4.577128e-02 6.744858e-01 1.836879e-09 9.885195e-01 -9.164894e-01 -4.667553e-01 6.486702e-02 2.512234e+00 1.303191e-02 
2.685372e-01 4.847340e-02 7.173936e-01 2.452482e-09 9.890514e-01 -1.115426e+00 -6.981383e-01 6.901596e-02 2.959043e+00 1.345745e-02 
2.915160e-01 5.063298e-02 6.595922e-01 1.831206e-09 9.620124e-01 -9.930851e-01 4.507979e-01 9.805851e-02 3.515071e+00 -2.074468e-03 
3.406649e-01 4.656915e-02 6.828191e-01 2.078014e-09 9.729167e-01 -8.654255e-01 -4.162234e-01 1.483245e-01 2.395567e+00 -1.005319e-02 
2.851330e-01 4.779255e-02 6.581738e-01 2.289362e-09 9.536791e-01 -7.590426e-01 -1.289894e-01 1.459309e-01 3.006206e+00 2.186170e-02 
2.919947e-01 4.948404e-02 7.241312e-01 2.100709e-09 9.866578e-01 -9.824468e-01 -9.215426e-01 7.109043e-02 2.370745e+00 -6.329787e-03 
3.272606e-01 4.523936e-02 6.764362e-01 1.958865e-09 9.744238e-01 -1.267553e+00 1.848404e-01 9.518617e-02 3.534929e+00 -2.026596e-02 
2.738032e-01 4.604787e-02 7.264362e-01 2.139007e-09 9.760195e-01 -8.867021e-01 -6.954787e-01 7.428191e-02 3.634220e+00 -6.755319e-03 
3.140160e-01 5.056915e-02 6.897340e-01 2.485106e-09 9.623670e-01 -9.643617e-01 -1.196809e-02 1.298138e-01 2.683511e+00 2.675532e-02 
3.223138e-01 4.877128e-02 6.514362e-01 1.736170e-09 9.943706e-01 -1.121809e+00 2.260638e-02 1.199202e-01 2.914362e+00 -2.611702e-02 
2.797074e-01 4.954787e-02 7.142021e-01 1.761702e-09 9.634309e-01 -9.962766e-01 -9.960106e-01 1.312500e-01 2.867199e+00 1.611702e-02 
3.081117e-01 4.530319e-02 7.028546e-01 2.302128e-09 9.839096e-01 -1.228191e+00 -2.486702e-01 6.454787e-02 2.430319e+00 -4.946809e-03 
3.438564e-01 4.868617e-02 6.720035e-01 2.143262e-09 9.785904e-01 -7.164894e-01 4.375000e-01 1.167287e-01 3.366135e+00 -1.590426e-02 
2.683777e-01 4.998404e-02 7.083511e-01 1.895035e-09 9.704344e-01 -1.181383e+00 7.047872e-02 1.144947e-01 3.666489e+00 -1.952128e-02 
2.923138e-01 4.757979e-02 6.783865e-01 2.075177e-09 9.869238e-01 -1.096277e+00 -9.773936e-01 1.258245e-01 2.321099e+00 2.643617e-02 
3.395479e-01 4.594149e-02 6.663298e-01 2.307801e-09 9.566046e-01 -7.994681e-01 -6.648936e-03 6.917553e-02 2.973936e+00 -9.627660e-03 
2.642287e-01 4.552660e-02 6.636702e-01 1.947518e-09 9.725621e-01 -8.632979e-01 -3.710106e-01 6.167553e-02 2.968972e+00 -8.882979e-03 
3.050798e-01 4.977128e-02 7.344149e-01 2.234043e-09 9.847074e-01 -9.186170e-01 1.316489e-01 1.116223e-01 3.363652e+00 2.930851e-02 
3.421011e-01 4.860106e-02 6.821099e-01 2.053901e-09 9.637855e-01 -1.288830e+00 -5.199468e-01 1.377926e-01 2.492376e+00 -2.015957e-02 
2.690160e-01 4.811170e-02 7.361879e-01 2.268085e-09 9.785018e-01 -1.227128e+00 1.462766e-02 7.476064e-02 3.527482e+00 -4.734043e-03 
2.991755e-01 5.066489e-02 6.755496e-01 1.951773e-09 9.566933e-01 -8.707447e-01 -2.194149e-01 1.251862e-01 2.353369e+00 -2.537234e-02 
3.310904e-01 4.643085e-02 6.485993e-01 2.031206e-09 9.956117e-01 -9.207447e-01 -7.007979e-01 1.058777e-01 3.048404e+00 2.664894e-02 
2.848138e-01 4.807979e-02 7.106560e-01 2.303546e-09 9.997784e-01 -7.941489e-01 -6.077128e-01 9.662234e-02 3.244504e+00 -2.558511e-02 
3.114628e-01 4.500532e-02 6.865426e-01 2.046809e-09 9.500443e-01 -1.088830e+00 -4.295213e-01 1.465691e-01 3.189894e+00 2.074468e-03 
3.213564e-01 5.019681e-02 6.696986e-01 1.802837e-09 9.758422e-01 -1.137766e+00 8.909574e-02 7.332447e-02 2.403014e+00 1.281915e-02 
2.728457e-01 4.780319e-02 7.030319e-01 2.110638e-09 9.545656e-01 -8.601064e-01 9.973404e-02 1.476862e-01 2.589184e+00 -1.973404e-02 
